battery_health,cpu,created_at,disks,full_charge_capacity,graphicscard,manufacturer,model,operatingsystem,ram_gb,serialnumber,systemsku,touchscreen
79.52,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2024-11-29T11:49:00,238.47GB,40550,Intel(R) HD Graphics 620 [1920x1080],Dell Inc.,Latitude 5490,Microsoft Windows 11 Pro 10.0.26100,16,84SPTN2,816,Unknow
98.34,11th Gen Intel(R) Core(TM) i7-11370H @ 3.30GHz (4C/8T),2024-11-29T11:15:00,476.94GB,59990,Intel(R) Iris(R) Xe Graphics [2880x1800],LENOVO,82QT,Microsoft Windows 11 Home 10.0.26100,16,PF45EMFZ,LENOVO_MT_82QT_BU_idea_FM_IdeaPad Slim 7 Pro 14IHU5,Unknow
88.56,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (4C/8T),2024-11-29T10:41:00,238.47GB,60215,Intel(R) UHD Graphics 620 [1920x1080],Dell Inc.,Latitude 5490,Microsoft Windows 11 Pro 10.0.26100,8,54PFNF2,816,Unknow
75.9,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2024-11-28T17:07:00,238.47GB,38703,Intel(R) HD Graphics 620 [1920x1080],Dell Inc.,Latitude 5490,Microsoft Windows 11 Pro 10.0.26100,16,5BRMTN2,816,Unknow
89.22,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2024-11-28T16:17:00,476.94GB,45510,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QGS1S800,Microsoft Windows 11 Pro 10.0.22631,16,PF1BD9L9,LENOVO_MT_20QG_BU_Think_FM_ThinkPad X1 Yoga 4th,Unknow
91.3,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (4C/8T),2024-11-28T15:36:00,476.94GB,46570,Intel(R) UHD Graphics [1920x1080],LENOVO,20UCS0E511,Microsoft Windows 11 Pro 10.0.22631,16,PF2XDE35,LENOVO_MT_20UC_BU_Think_FM_ThinkPad X1 Yoga Gen 5,Unknow
101.94,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (4C/8T),2024-11-28T15:32:00,476.94GB,51990,Intel(R) UHD Graphics [1920x1080],LENOVO,20UCS0E511,Microsoft Windows 11 Pro 10.0.22631,16,PF2R04Q2,LENOVO_MT_20UC_BU_Think_FM_ThinkPad X1 Yoga Gen 5,Unknow
84.32,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (4C/8T),2024-11-28T14:57:00,476.94GB,43010,Intel(R) UHD Graphics [1920x1080],LENOVO,20UCS0E511,Microsoft Windows 11 Pro 10.0.22631,16,PF23PH6G,LENOVO_MT_20UC_BU_Think_FM_ThinkPad X1 Yoga Gen 5,Unknow
99.7,AMD Ryzen 7 5700U with Radeon Graphics (8C/16T),2024-11-28T14:13:00,476.94GB,52340,AMD Radeon(TM) Graphics [1920x1200],LENOVO,82R9,Microsoft Windows 11 Home 10.0.22631,16,PW026A44,LENOVO_MT_82R9_BU_idea_FM_IdeaPad Flex 5 14ALC7,Unknow
87.57,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (4C/8T),2024-11-28T13:54:00,476.94GB,44670,Intel(R) UHD Graphics [1920x1080],LENOVO,20UCS0E511,Microsoft Windows 11 Pro 10.0.22631,16,PF2Z3R7P,LENOVO_MT_20UC_BU_Think_FM_ThinkPad X1 Yoga Gen 5,Unknow
